csv_row,id,label,cl_label
410,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
411,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
412,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
413,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
414,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
415,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
416,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
417,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
418,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
419,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
420,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
421,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
422,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
423,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
432,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
433,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
434,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
435,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
436,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
437,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
438,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
439,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
440,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
441,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
442,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
443,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
444,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
445,http://purl.obolibrary.org/obo/CL_0002062,type I pneumocyte,pulmonary alveolar type 1 cell
424,http://purl.obolibrary.org/obo/CL_0002063,type II pneumocyte,pulmonary alveolar type 2 cell
425,http://purl.obolibrary.org/obo/CL_0002063,type II pneumocyte,pulmonary alveolar type 2 cell
426,http://purl.obolibrary.org/obo/CL_0002063,type II pneumocyte,pulmonary alveolar type 2 cell
427,http://purl.obolibrary.org/obo/CL_0002063,type II pneumocyte,pulmonary alveolar type 2 cell
428,http://purl.obolibrary.org/obo/CL_0002063,type II pneumocyte,pulmonary alveolar type 2 cell
429,http://purl.obolibrary.org/obo/CL_0002063,type II pneumocyte,pulmonary alveolar type 2 cell
2169,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
2170,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
2171,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
2172,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
2173,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
2174,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
2175,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
2176,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
2177,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
