x,y,combined_info
7109.0,7160.0,Cycling TA_Cell Type
8309.0,8029.0,CD66+ Enterocyte_Cell Type
8938.0,8593.0,CD66+ Enterocyte_Cell Type
7819.0,4384.0,CD66+ Enterocyte_Cell Type
8434.0,5175.0,CD66+ Enterocyte_Cell Type
6969.0,1701.0,CD66+ Enterocyte_Cell Type
8403.0,6073.0,CD66+ Enterocyte_Cell Type
8870.0,8512.0,CD66+ Enterocyte_Cell Type
6824.0,419.0,CD66+ Enterocyte_Cell Type
8851.0,8462.0,CD66+ Enterocyte_Cell Type
6562.0,1386.0,CD66+ Enterocyte_Cell Type
7920.0,3892.0,CD66+ Enterocyte_Cell Type
7473.0,2842.0,CD66+ Enterocyte_Cell Type
8602.0,7494.0,CD66+ Enterocyte_Cell Type
8808.0,7096.0,CD66+ Enterocyte_Cell Type
8053.0,3859.0,CD66+ Enterocyte_Cell Type
7359.0,2130.0,CD66+ Enterocyte_Cell Type
8728.0,6207.0,CD66+ Enterocyte_Cell Type
7844.0,6946.0,Enterocyte_Cell Type
1391.0,2954.0,Enterocyte_Cell Type
8773.0,6238.0,Enterocyte_Cell Type
7938.0,6560.0,Enterocyte_Cell Type
7438.0,2762.0,Enterocyte_Cell Type
7947.0,7685.0,Enterocyte_Cell Type
5997.0,575.0,Enterocyte_Cell Type
7008.0,3636.0,Enterocyte_Cell Type
6503.0,2289.0,Enterocyte_Cell Type
7877.0,6517.0,Enterocyte_Cell Type
7523.0,7932.0,Enterocyte_Cell Type
8182.0,6559.0,Enterocyte_Cell Type
8622.0,7575.0,Enterocyte_Cell Type
7622.0,2955.0,Enterocyte_Cell Type
7719.0,6709.0,Enterocyte_Cell Type
6850.0,3817.0,Enterocyte_Cell Type
7635.0,2836.0,Enterocyte_Cell Type
7714.0,6303.0,Enterocyte_Cell Type
7644.0,2686.0,Enterocyte_Cell Type
7935.0,8173.0,Enterocyte_Cell Type
7429.0,4114.0,Enterocyte_Cell Type
3780.0,6790.0,Enterocyte_Cell Type
4721.0,3866.0,Enterocyte_Cell Type
8036.0,7426.0,Enterocyte_Cell Type
5958.0,553.0,Enterocyte_Cell Type
8066.0,5053.0,Enterocyte_Cell Type
8471.0,8901.0,Enterocyte_Cell Type
5899.0,9065.0,Enterocyte_Cell Type
8379.0,8156.0,Enterocyte_Cell Type
6416.0,1150.0,Enterocyte_Cell Type
5757.0,2709.0,Enterocyte_Cell Type
7760.0,6350.0,Enterocyte_Cell Type
6624.0,1315.0,Enterocyte_Cell Type
7357.0,5689.0,Enterocyte_Cell Type
3829.0,1398.0,Enterocyte_Cell Type
8194.0,5234.0,Enterocyte_Cell Type
6816.0,2901.0,Enterocyte_Cell Type
8146.0,6501.0,Enterocyte_Cell Type
6893.0,3080.0,Enterocyte_Cell Type
5997.0,360.0,Enterocyte_Cell Type
6699.0,1945.0,Enterocyte_Cell Type
6449.0,4101.0,Enterocyte_Cell Type
7638.0,5831.0,Enterocyte_Cell Type
7902.0,6211.0,Enterocyte_Cell Type
7171.0,8281.0,Enterocyte_Cell Type
8778.0,6975.0,Enterocyte_Cell Type
7788.0,7127.0,Enterocyte_Cell Type
7208.0,8351.0,Enterocyte_Cell Type
7546.0,5984.0,Enterocyte_Cell Type
5768.0,681.0,Enterocyte_Cell Type
8033.0,4048.0,Enterocyte_Cell Type
7179.0,2690.0,Enterocyte_Cell Type
5084.0,4892.0,Enterocyte_Cell Type
6291.0,2819.0,Enterocyte_Cell Type
5959.0,5527.0,Enterocyte_Cell Type
7396.0,5852.0,Enterocyte_Cell Type
7839.0,5507.0,Enterocyte_Cell Type
7369.0,5817.0,Enterocyte_Cell Type
1520.0,317.0,Enterocyte_Cell Type
7526.0,3839.0,Enterocyte_Cell Type
7974.0,7652.0,Enterocyte_Cell Type
7724.0,5037.0,Enterocyte_Cell Type
6418.0,311.0,Enterocyte_Cell Type
7257.0,5856.0,Enterocyte_Cell Type
8367.0,8593.0,Enterocyte_Cell Type
6656.0,4022.0,Enterocyte_Cell Type
9073.0,7516.0,Enterocyte_Cell Type
7542.0,7499.0,Enterocyte_Cell Type
5150.0,628.0,Enterocyte_Cell Type
7415.0,7546.0,Enterocyte_Cell Type
7609.0,2920.0,Enterocyte_Cell Type
7671.0,4135.0,Enterocyte_Cell Type
6708.0,4564.0,Enterocyte_Cell Type
8220.0,7245.0,Enterocyte_Cell Type
8328.0,5654.0,Enterocyte_Cell Type
5614.0,1965.0,Enterocyte_Cell Type
7648.0,6927.0,Enterocyte_Cell Type
1986.0,6651.0,Enterocyte_Cell Type
6274.0,2171.0,Enterocyte_Cell Type
8017.0,8299.0,Enterocyte_Cell Type
7801.0,6163.0,Enterocyte_Cell Type
7127.0,1934.0,Enterocyte_Cell Type
6328.0,1764.0,Enterocyte_Cell Type
7532.0,8293.0,Enterocyte_Cell Type
7335.0,3529.0,Enterocyte_Cell Type
5757.0,2635.0,Enterocyte_Cell Type
8308.0,7289.0,Enterocyte_Cell Type
8218.0,7690.0,Enterocyte_Cell Type
5685.0,413.0,Enterocyte_Cell Type
7696.0,7509.0,Enterocyte_Cell Type
5189.0,154.0,Enterocyte_Cell Type
6484.0,3506.0,Enterocyte_Cell Type
7671.0,5813.0,Enterocyte_Cell Type
6596.0,1106.0,Enterocyte_Cell Type
7435.0,6901.0,Enterocyte_Cell Type
7313.0,6157.0,Enterocyte_Cell Type
8345.0,5546.0,Enterocyte_Cell Type
6772.0,2619.0,Enterocyte_Cell Type
5535.0,1257.0,Enterocyte_Cell Type
8317.0,8212.0,Enterocyte_Cell Type
7895.0,8328.0,Enterocyte_Cell Type
6466.0,3951.0,Enterocyte_Cell Type
5091.0,954.0,Enterocyte_Cell Type
7826.0,6406.0,Enterocyte_Cell Type
8135.0,3943.0,Enterocyte_Cell Type
6654.0,3032.0,Enterocyte_Cell Type
6456.0,2616.0,Enterocyte_Cell Type
8817.0,7204.0,Enterocyte_Cell Type
7815.0,5371.0,Enterocyte_Cell Type
6544.0,5820.0,Enterocyte_Cell Type
8461.0,8697.0,Enterocyte_Cell Type
7609.0,7487.0,Enterocyte_Cell Type
7390.0,5860.0,Enterocyte_Cell Type
6242.0,262.0,Enterocyte_Cell Type
8228.0,7758.0,Enterocyte_Cell Type
9061.0,7995.0,Enterocyte_Cell Type
8252.0,3952.0,Enterocyte_Cell Type
6640.0,3223.0,Enterocyte_Cell Type
9004.0,8402.0,Enterocyte_Cell Type
8064.0,8458.0,Enterocyte_Cell Type
7338.0,7463.0,Enterocyte_Cell Type
5942.0,4024.0,Enterocyte_Cell Type
8510.0,5659.0,Enterocyte_Cell Type
6753.0,4454.0,Enterocyte_Cell Type
