x,y,combined_info
7109.0,7160.0,Plasma Cell Enriched_Community
8309.0,8029.0,Mature Epithelial_Community
8938.0,8593.0,Mature Epithelial_Community
7819.0,4384.0,Mature Epithelial_Community
8434.0,5175.0,Mature Epithelial_Community
6969.0,1701.0,Mature Epithelial_Community
8403.0,6073.0,Mature Epithelial_Community
8870.0,8512.0,Mature Epithelial_Community
6824.0,419.0,Mature Epithelial_Community
8851.0,8462.0,Mature Epithelial_Community
6562.0,1386.0,Mature Epithelial_Community
7920.0,3892.0,Mature Epithelial_Community
7473.0,2842.0,Mature Epithelial_Community
8602.0,7494.0,Mature Epithelial_Community
8808.0,7096.0,CD66+ Mature Epithelial_Community
8053.0,3859.0,Mature Epithelial_Community
7359.0,2130.0,Mature Epithelial_Community
8728.0,6207.0,Mature Epithelial_Community
7844.0,6946.0,Mature Epithelial_Community
1391.0,2954.0,Stroma_Community
8773.0,6238.0,Mature Epithelial_Community
7938.0,6560.0,Mature Epithelial_Community
7438.0,2762.0,Mature Epithelial_Community
7947.0,7685.0,Mature Epithelial_Community
5997.0,575.0,CD8+ T Enriched IEL_Community
7008.0,3636.0,Mature Epithelial_Community
6503.0,2289.0,Mature Epithelial_Community
7877.0,6517.0,Mature Epithelial_Community
7523.0,7932.0,Mature Epithelial_Community
8182.0,6559.0,Mature Epithelial_Community
8622.0,7575.0,Mature Epithelial_Community
7622.0,2955.0,Mature Epithelial_Community
7719.0,6709.0,Mature Epithelial_Community
6850.0,3817.0,Mature Epithelial_Community
7635.0,2836.0,Mature Epithelial_Community
7714.0,6303.0,Mature Epithelial_Community
7644.0,2686.0,Mature Epithelial_Community
7935.0,8173.0,Mature Epithelial_Community
7429.0,4114.0,Mature Epithelial_Community
3780.0,6790.0,Stroma_Community
4721.0,3866.0,Stroma_Community
8036.0,7426.0,Mature Epithelial_Community
5958.0,553.0,Mature Epithelial_Community
8066.0,5053.0,Mature Epithelial_Community
8471.0,8901.0,Mature Epithelial_Community
5899.0,9065.0,Stroma_Community
8379.0,8156.0,Mature Epithelial_Community
6416.0,1150.0,Mature Epithelial_Community
5757.0,2709.0,Plasma Cell Enriched_Community
7760.0,6350.0,Mature Epithelial_Community
6624.0,1315.0,Mature Epithelial_Community
7357.0,5689.0,Mature Epithelial_Community
3829.0,1398.0,Stroma_Community
8194.0,5234.0,Mature Epithelial_Community
6816.0,2901.0,Mature Epithelial_Community
8146.0,6501.0,Mature Epithelial_Community
6893.0,3080.0,Mature Epithelial_Community
5997.0,360.0,Mature Epithelial_Community
6699.0,1945.0,Mature Epithelial_Community
6449.0,4101.0,Plasma Cell Enriched_Community
7638.0,5831.0,Mature Epithelial_Community
7902.0,6211.0,Mature Epithelial_Community
7171.0,8281.0,Secretory Epithelial_Community
8778.0,6975.0,CD66+ Mature Epithelial_Community
7788.0,7127.0,Mature Epithelial_Community
7208.0,8351.0,Secretory Epithelial_Community
7546.0,5984.0,Mature Epithelial_Community
5768.0,681.0,Innate Immune Enriched_Community
8033.0,4048.0,Mature Epithelial_Community
7179.0,2690.0,CD8+ T Enriched IEL_Community
5084.0,4892.0,Smooth Muscle_Community
6291.0,2819.0,Secretory Epithelial_Community
5959.0,5527.0,Smooth Muscle_Community
7396.0,5852.0,Mature Epithelial_Community
7839.0,5507.0,Mature Epithelial_Community
7369.0,5817.0,Mature Epithelial_Community
1520.0,317.0,Stroma_Community
7526.0,3839.0,Mature Epithelial_Community
7974.0,7652.0,Mature Epithelial_Community
7724.0,5037.0,Mature Epithelial_Community
6418.0,311.0,Mature Epithelial_Community
7257.0,5856.0,Mature Epithelial_Community
8367.0,8593.0,Mature Epithelial_Community
6656.0,4022.0,Mature Epithelial_Community
9073.0,7516.0,Mature Epithelial_Community
7542.0,7499.0,Plasma Cell Enriched_Community
5150.0,628.0,Mature Epithelial_Community
7415.0,7546.0,Plasma Cell Enriched_Community
7609.0,2920.0,Mature Epithelial_Community
7671.0,4135.0,Mature Epithelial_Community
6708.0,4564.0,Plasma Cell Enriched_Community
8220.0,7245.0,Mature Epithelial_Community
8328.0,5654.0,Mature Epithelial_Community
5614.0,1965.0,Plasma Cell Enriched_Community
7648.0,6927.0,Plasma Cell Enriched_Community
1986.0,6651.0,Stroma_Community
6274.0,2171.0,Mature Epithelial_Community
8017.0,8299.0,Mature Epithelial_Community
7801.0,6163.0,Mature Epithelial_Community
7127.0,1934.0,Mature Epithelial_Community
6328.0,1764.0,Mature Epithelial_Community
7532.0,8293.0,CD8+ T Enriched IEL_Community
7335.0,3529.0,Mature Epithelial_Community
5757.0,2635.0,Plasma Cell Enriched_Community
8308.0,7289.0,Mature Epithelial_Community
8218.0,7690.0,Mature Epithelial_Community
5685.0,413.0,Mature Epithelial_Community
7696.0,7509.0,Plasma Cell Enriched_Community
5189.0,154.0,Innate Immune Enriched_Community
6484.0,3506.0,Mature Epithelial_Community
7671.0,5813.0,Mature Epithelial_Community
6596.0,1106.0,Mature Epithelial_Community
7435.0,6901.0,Mature Epithelial_Community
7313.0,6157.0,Plasma Cell Enriched_Community
8345.0,5546.0,Mature Epithelial_Community
6772.0,2619.0,Mature Epithelial_Community
5535.0,1257.0,Plasma Cell Enriched_Community
8317.0,8212.0,Mature Epithelial_Community
7895.0,8328.0,Mature Epithelial_Community
6466.0,3951.0,Plasma Cell Enriched_Community
5091.0,954.0,Plasma Cell Enriched_Community
7826.0,6406.0,Mature Epithelial_Community
8135.0,3943.0,Mature Epithelial_Community
6654.0,3032.0,Mature Epithelial_Community
6456.0,2616.0,CD8+ T Enriched IEL_Community
8817.0,7204.0,Mature Epithelial_Community
7815.0,5371.0,Mature Epithelial_Community
6544.0,5820.0,Adaptive Immune Enriched_Community
8461.0,8697.0,Mature Epithelial_Community
7609.0,7487.0,Mature Epithelial_Community
7390.0,5860.0,Mature Epithelial_Community
6242.0,262.0,CD8+ T Enriched IEL_Community
8228.0,7758.0,Mature Epithelial_Community
9061.0,7995.0,Mature Epithelial_Community
8252.0,3952.0,Mature Epithelial_Community
6640.0,3223.0,Mature Epithelial_Community
9004.0,8402.0,Mature Epithelial_Community
8064.0,8458.0,Mature Epithelial_Community
7338.0,7463.0,Mature Epithelial_Community
5942.0,4024.0,Plasma Cell Enriched_Community
8510.0,5659.0,Mature Epithelial_Community
6753.0,4454.0,Mature Epithelial_Community
5014.0,2160.0,Adaptive Immune Enriched_Community
7662.0,6239.0,Mature Epithelial_Community
6772.0,4015.0,Mature Epithelial_Community
7994.0,6426.0,Mature Epithelial_Community
6312.0,74.0,CD8+ T Enriched IEL_Community
6860.0,4180.0,CD8+ T Enriched IEL_Community
7306.0,4498.0,Mature Epithelial_Community
6839.0,2597.0,Mature Epithelial_Community
5506.0,353.0,Mature Epithelial_Community
6482.0,160.0,CD8+ T Enriched IEL_Community
7194.0,3613.0,Mature Epithelial_Community
7424.0,3145.0,Mature Epithelial_Community
8027.0,7584.0,Mature Epithelial_Community
7288.0,7443.0,Secretory Epithelial_Community
8217.0,4777.0,Mature Epithelial_Community
7682.0,6268.0,Mature Epithelial_Community
7102.0,4004.0,CD8+ T Enriched IEL_Community
7068.0,7114.0,Plasma Cell Enriched_Community
