dataset_id,uuid,type
3db8260ec925ce25fe4c4190bc7e9bb5,SNT979.GKNL.276,Visceral
dcb2f3ebd1c1092bf1e9e88b07c646e6,SNT854.XGZH.427,Visceral
12ecdd0e3c5da80200004470bac507a3,SNT945.FLGL.988,Visceral
ea6ff1ffd7b0f252ce3cf0817e76c791,SNT699.JWPG.738,Visceral
7079db7cd7b0abedb6c38c10bbd08aed,SNT727.HHRD.933,Visceral
05265989813b0f97f18f2e1943073158,SNT736.XKHM.759,Visceral
047a1e5041312e86b01e6f4c78b1a8bf,SNT237.QGQG.746,Visceral
a0e43775bc57a747568c6c3232c5442e,SNT578.NWXK.459,Subcutaneous
a26e84bd64919fe7b75807e610b66d0b,SNT557.KRBR.598,Subcutaneous
d33ba173ef97eb435f23c4815e43f13b,SNT257.FFHC.455,Visceral
baff4ad80c5cb2f6a8585f79d3c8439c,SNT373.TQXX.267,Visceral
1cd6903bca715eae0b7067354667137a,SNT375.SRJG.445,Visceral
63a7dc8ba93811c11b5e4dc7616c460c,SNT724.GJVQ.855,Subcutaneous 
adf51b1dc0f481519c23fc8848728b83,SNT598.XXLX.897,Visceral
862adec036a5328de110f9c17100407a,SNT355.LRLH.234,Subcutaneous 
eb7aa4c1e7489be649bbb618cf91c504,SNT259.WCMR.975,Visceral
f55f2be316de796c4100a462f52b9644,SNT563.LJTB.744,Subcutaneous
85d6ff6622cd5eb593a36b1c9a78b032,SNT785.VKSW.833,Subcutaneous
a2ea050ebb8c778d4150e6b8637c98d3,SNT653.VHLP.582,Subcutaneous
8498b893f0a5f16549a83c8e8efdcdaf,SNT964.LJXV.286,Subcutaneous
47942b3f73107c6880977e578ed812dc,SNT295.HFZD.354,Subcutaneous
0f982417e206da73934688d29683c2b3,SNT897.HZRX.367,Subcutaneous
b8a8fccc814296538d2d23d78114fc39,SNT432.ZDMM.843,Subcutaneous 
5f53fd95122910e5646b63b32e90006d,SNT966.CBHN.923,Subcutaneous
320eac8dc3ee2120b7fe3e29928b2152,SNT336.SQMQ.255,Visceral
9d942064106b6c1ce3547264799801a0,SNT454.QFNR.739,Visceral
85ba11cf782f902504a1a58b5555920f,SNT449.QHQQ.334,Subcutaneous 
8bdf6a71742c2ac61c14056730143ad4,SNT358.TGXB.759,Visceral
b0ca71a339ce6d5b42c8313b1b089df5,SNT464.PJMP.535,Subcutaneous 
9eb4e161e9a3de99737e5ba9402c98af,SNT465.QQJZ.586,Subcutaneous
dbca75235a8e0e8db941726245f238c3,SNT766.HNGC.624,Visceral
218886f96751f027908015cce32bf355,SNT454.QFNR.739,Visceral
139e7e8907e173af4165ad5fd64a1c06,SNT897.HZRX.367,Subcutaneous
434a922f6be3481f52d2484e8ba4cb7b,SNT736.XKHM.759,Visceral
e7131e76390efa647196b15e5db22ad0,SNT966.CBHN.923,Subcutaneous
55f0ea4d3d13ec510b11e53e9ac5d476,SNT465.QQJZ.586,Subcutaneous
7ee7204e4effb6ea842b943b7e1d7e98,SNT499.QXQH.347,Visceral
165ceb895fdea9a6cf419c99a748c07a,SNT499.QXQH.347,Visceral
eff9c041156856c3b07e9072ebc50896,SNT465.QQJZ.586,Subcutaneous
5418b5a766fdb5d648c562b19f588e62,SNT766.HNGC.624,Visceral
c9283665fc93c2df637e8f1ebfbc5ab6,SNT454.QFNR.739,Visceral
1a06752395807c83dbeae56d5fdca3f0,SNT397.HGLM.937,Subcutaneous 
f899a1b8ad2d26cb10a6335a6d5e20d8,SNT997.KGFJ.269,Visceral
dfbe0ec0933af3721255fff2f509ed73,SNT546.PQGD.722,Subcutaneous
ba3f3afe87c9dbe99028f0ce71f1f588,SNT568.PXCH.973,Subcutaneous
4f7e3da0b58823fe1d8c92560c587d77,SNT848.RMZT.995,Subcutaneous
6649a4994c1ef495d539ef13af2e3220,SNT688.FVCN.522,Visceral
93024888b8834e1e51303ec806fd63bf,SNT483.FLBN.596,Visceral
84779aac105346b41ce629469052ead9,SNT373.WSXN.395,Subcutaneous
592a89242dc7d07d4877a7ec538499e6,SNT385.CVNW.878,Visceral
03a62b53ad5d62d10c334c4e68c3f4c7,SNT256.FMXV.863,Subcutaneous
3730c1fdeb0d4c6767db26e161b0db7f,SNT528.SDTZ.459,Visceral
53be078e129119c20f5aa6d1a984ce38,SNT276.VFCJ.394,Visceral
8a27725176dc4a787b5f91b53f2ce482,SNT743.PZPL.769,Subcutaneous
2d39a1d42e490724e6291824c7b04d6d,SNT523.ZFJX.447,Visceral
daf73c85047da9ce7dadf79e6f4a9b04,SNT626.KNRD.552,Visceral
8b9015aa5d0511d5ade36c228ef79a82,SNT335.VMWF.729,Visceral
add3285c58e8104917343679afea3c0f,SNT229.KQMG.887,Subcutaneous
52610101cac7603ed456bf2c02fb0f03,SNT526.LKRP.645,Subcutaneous 
2b74ab74e8ace961fd88baaf5adbeb55,SNT777.CDKW.342,Visceral
a3c38062b1a8286e0c32e39e795f9032,SNT497.JFTX.834,Visceral
62dbda9ab4f8987d18bd068347a4b46d,SNT665.BWGJ.837,Visceral
a8d3e28e2b9d1383c5786e743ef1fc8a,SNT626.KNRD.552,Visceral
a64fe37f6f3c77d5c25f0bee61714ff8,SNT649.QZQF.554,Subcutaneous 
215475604a7c23ddd0a4f1d0f049a24f,SNT526.LKRP.645,Subcutaneous 
743a8262d5b76d760846007b733040f2,SNT845.SCKG.443,Subcutaneous 
4f78cb095b63ce5fe9db787d09434925,SNT675.XRDL.762,Subcutaneous
577f695f464833e46cef36e45dd855c9,SNT852.BNJX.748,Visceral
02d4f7cee3f8d6cd3f217b0b4c47305b,SNT798.FVPK.992,Subcutaneous
6fe8a22838b93a0ed6c33c84da5d0538,SNT968.SRFK.553,Visceral
f24f739e9730fa4f434cc3841fb79ede,SNT355.SHXX.396,Visceral
d75d70fbe5b64100843f8a0b4762afc7,SNT653.MVML.696,Visceral
f2801c10d495676450ecde6cca6778ba,SNT798.FVPK.992,Subcutaneous
dee513543953f4ad871f8d0b7cd702b8,SNT852.BNJX.748,Visceral
59c715e60b419bd85313b32258527452,SNT653.MVML.696,Visceral
01ede43341147b060e9b46fd274aaeab,SNT742.QZRN.388,Visceral
ca4180171fcd37b1b3f0d1278d94f4df,SNT845.SCKG.443,Subcutaneous 
83bc15ad8ebe4c3631d7cbc3775bbdbc,SNT675.XRDL.762,Subcutaneous
b2269b012aa5b1d7789c6a47c659f1d0,SNT397.HGLM.937,Subcutaneous 
90a6f309f74908bd4d53809744eddb8b,SNT968.SRFK.553,Visceral
fe5f4100b13081ca6cc44310e5ddd50f,SNT229.QWJT.257,Visceral
f8fb89cf471804232cd5194eb369465e,SNT993.QLCC.466,Subcutaneous 
57d0b184e19465253d6e6e730bf7da7e,SNT467.RSFT.448,Visceral
8361cbe4d857df8945268b5d3744788a,SNT682.QKXN.697,Subcutaneous
40743df3a7336fb6a5b65336bc6dbf2b,SNT827.WDDN.262,Visceral
f44ef28a19aa19f290356e0cde96b1b2,SNT525.RPZD.354,Subcutaneous
e65f9340b08b92aa979403c4cdf7fe93,SNT244.DFTF.594,Visceral
f84925baf32a7a34fb038c828e72d109,SNT742.ZDQR.996,Visceral
65638e3819b66d1e1bd4b3800568bc20,SNT976.FRJD.232,Subcutaneous
d53946a88a97455c92f41e0f3a1fe063,SNT485.QLCV.683,Subcutaneous
840e12e4cc5f7c9896b6bde99a45f42b,SNT482.VHLQ.287,Subcutaneous
