dataset_id,uuid,type
d5da6970f04234d0f78abdf1adaf33a9,SNT997.SGFS.597,SN_0131
45c2a7e4d370025c027a3e9c5f6816b4,SNT634.CNDC.344,SN_0120
4d26d644ca2cb54cb094d6fe7b2310f0,SNT263.PCQJ.942,SN_0197
63f923dba8dbc6ef19090fadae9d5eae,SNT897.XSKH.765,SN_0123
ad33f1149a386bf4e3d95b9b69d44c6f,SNT389.MKGS.876,SN_0135
c7003e60f1599c84fd31c9b75c75f0d5,SNT985.HJQN.458,SN_0121
de2d50d7fcce3fd1b514bcc8cacea6eb,SNT782.NFTH.529,SN_0134
a0ebaad0234df62305a986cc29b89a27,SNT597.LBBX.278,SN_0113
0cbbdbc0a89e9abf4351911701ece16a,SNT727.CGJB.362,SN_0139
f86119ae0cdb672bfb01ec1658c93827,SNT485.TFZW.933,SN_0136
b6219533499fecdf918c23e387278716,SNT897.XSKH.765,SN_0123
9edaa4d8912cac8d53f802c05bb94071,SNT765.VJSX.938,SN_0130
6fee0a7900aaa8d42df1ba825a7dabae,SNT985.HJQN.458,SN_0121
976a7f2b39543921cd359d1b43567cd2,SNT389.MKGS.876,SN_0135
61ef28c68f2bdd71b6074df0855ab655,SNT684.VLRC.283,SN_0138
e97fcd0eb1b14844b57a0ba055fc33db,SNT263.PCQJ.942,SN_0197
ebd6b3b290222b04a060cf22d4a85b5b,SNT772.RRSX.967,SN_0114
84c5d25c1a3068a636466fa69b04108d,SNT597.LBBX.278,SN_0113
cfd4b24c127d3686dc8960f09046ddfe,SNT389.FLMV.956,SN_0140
fbfdc30b2ec79f17071fcaa90ff371e8,SNT296.ZSSX.293,SN_0119
8c919e99872d9ab93e5556f8f5f1bd3b,SNT597.LBBX.278,SN_0113
424c258654b455a5a8f8640ba31b641e,SNT782.NFTH.529,SN_0134
685cd27bda606f62465d6f846b7101ff,SNT389.FLMV.956,SN_0140
aa784a0fc54dbc0816a7277290e26f9a,SNT634.CNDC.344,SN_0120
1e23ee6c83c7458be786fa8a922edfe9,SNT296.ZSSX.293,SN_0119
acc4a012cb10d8932f08db0b723a7b85,SNT237.HHFT.695,SN_0196
b5131c144e5e5d330da5ca019ecb4f50,SNT897.XSKH.765,SN_0123
d18a8dc79679343179b021f8dd935e55,SNT772.RRSX.967,SN_0114
bc7758e7b39b71c44bba47d5050cba3a,SNT472.XBQZ.856,SN_0132
9064fa2f65df2443eb0448be9b2a7c0f,SNT727.CGJB.362,SN_0139
1d9b7ab13e9e4f850212a58cb9b2c990,SNT634.CNDC.344,SN_0120
de4fab2e09b466b8c914728fe294ebe0,SNT887.HQLX.679,SN_0133
d2fd0ba130a7347733c7c406debfabed,SNT237.HHFT.695,SN_0196
9251ac80e11d53dde29115b39e0d9620,SNT949.HRSM.865,SN_0141
b66322acaee3d069aa1de7cf6a263fab,SNT336.TNTN.436,SN_0142
ca6bc3e226c0671b75c8a4a238beee14,SNT637.VHCL.766,SN_0112
c099e41c4d49ea1c2372880e29bd6c68,SNT472.XBQZ.856,SN_0132
d1a34fabdfdb8086f740a00245e2937b,SNT852.MBFQ.742,SN_0137
96bd150d7657e537c12b9d84533c3e05,SNT887.HQLX.679,SN_0133
a42e7bdc9d0303274bba590986236ba1,SNT892.GCWJ.473,SN_0198
601f35585b3745aed80a98baae1b94e3,SNT485.TFZW.933,SN_0136
61cb743af8f71f23668e1ae130a69ddd,SNT897.XSKH.765,SN_0123
30db2dd6b12aedebe8063e57ac14cb07,SNT765.VJSX.938,SN_0130
2f8cbcf6960541eb91fff56e6d6d265b,SNT275.HPHX.884,SN_0118
98a4ea918b0833ff7c82847c4d38208b,SNT336.TNTN.436,SN_0142
71a2f11091e0ee4d62d8a7b7af886809,SNT263.PCQJ.942,SN_0197
88c656d03e8d6efcb0637f1f95660110,SNT637.VHCL.766,SN_0112
3413989ccebfb72a8ba0a2c52bf98496,SNT727.CGJB.362,SN_0139
6459f5af4fbea29fd828aaa9426e486d,SNT263.PCQJ.942,SN_0197
31342c9ee9fb569aac0933b7ad2818be,SNT378.XSNC.662,SN_0144
125993327d411743d4e2b758e75c2b8e,SNT262.DMPK.836,SN_0143
9e7624f0608f8a888b9425fd8c2b5472,SNT634.CNDC.344,SN_0120
f7bbd8859c2174f53bb543043f54b570,SNT887.HQLX.679,SN_0133
6f55b7cf77762772e686eaa0d2375c16,SNT262.DMPK.836,SN_0143
89765e726f1a34629d6ec6f14ca30dc0,SNT637.VHCL.766,SN_0112
c600808210c6ab9d64e9ba4d89a7a3cb,SNT726.KXCD.936,SN_0199
4b30bf3a9bc7b62d990391acf3e4ef4e,SNT296.ZSSX.293,SN_0119
a1f7f11e596cfd879150b25ff491a006,SNT892.GCWJ.473,SN_0198
ba5ea5093756089c84e9b10db09b0012,SNT472.XBQZ.856,SN_0132
49dcfe7e0b8a27e03109dc4b6a01c8a7,SNT887.HQLX.679,SN_0133
ea717ad4732ef1a20c6b6b018bcbded4,SNT237.HHFT.695,SN_0196
e4e06e09c3afcc7dcc34433e7dda6f57,SNT985.HJQN.458,SN_0121
e9362358fc6fabf8476fdef859d28fdb,SNT852.MBFQ.742,SN_0137
0e974ba33d275c30f898a5ffd449b090,SNT275.HPHX.884,SN_0118
2e6718cd202e690d55085035076a79a2,SNT726.KXCD.936,SN_0199
bc4dbb1716c527327b2b11cc330fed76,SNT985.HJQN.458,SN_0121
e508dda5f4ab67ac8b87fae5d6e75a5d,SNT378.XSNC.662,SN_0144
e6023ebca04accfd342da9e8a081a3ad,SNT637.VHCL.766,SN_0112
7c3a83fab8c41b9930733d19d9e130cb,SNT985.HJQN.458,SN_0121
edb441f39f42e012afd5eae118193231,SNT472.XBQZ.856,SN_0132
91ec6d24790eba553fcc447654efed12,SNT765.VJSX.938,SN_0130
dd57ea0158790a3a0bba1768fb16796a,SNT597.LBBX.278,SN_0113
ef5184b3f7d0784a8c10bc1dd00f909e,SNT684.VLRC.283,SN_0138
5ddd436b9142bee684c6a3c981654cc8,SNT336.TNTN.436,SN_0142
7510ec4108bcf1756297db3dfe0d7fd4,SNT262.DMPK.836,SN_0143
4f746f2e719ce9274d0c1cd2ee06153d,SNT296.ZSSX.293,SN_0119
763c5aa54bdb53c20cfd24db5909ef4e,SNT985.HJQN.458,SN_0121
5c93cf17acffa14a1ed1d7220f0c59af,SNT892.GCWJ.473,SN_0198
9ff03f5849af7bf41cf9d1f6e9080ff2,SNT772.RRSX.967,SN_0114
b249818f1b135830eb123a2a2e302b97,SNT378.XSNC.662,SN_0144
f4e617fd4cc926154223858a585a7162,SNT275.HPHX.884,SN_0118
